#Date       Time        gpu     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD   HH:MM:SS    Idx      %      %      %      %      %      % 
 20250720   18:30:46      0      0      0      0      0      0      0 
 20250720   18:30:46      1      0      0      0      0      0      0 
 20250720   18:30:46      2      0      0      0      0      0      0 
 20250720   18:30:46      3      0      0      0      0      0      0 
 20250720   18:30:47      0      0      0      0      0      0      0 
 20250720   18:30:47      1      0      0      0      0      0      0 
 20250720   18:30:47      2      0      0      0      0      0      0 
 20250720   18:30:47      3      0      0      0      0      0      0 
 20250720   18:30:48      0      0      0      0      0      0      0 
 20250720   18:30:48      1      0      0      0      0      0      0 
 20250720   18:30:48      2      0      0      0      0      0      0 
 20250720   18:30:48      3      0      0      0      0      0      0 
 20250720   18:30:49      0      0      0      0      0      0      0 
 20250720   18:30:49      1      0      0      0      0      0      0 
 20250720   18:30:49      2      0      0      0      0      0      0 
 20250720   18:30:49      3      0      0      0      0      0      0 
 20250720   18:30:50      0      0      0      0      0      0      0 
 20250720   18:30:50      1      0      0      0      0      0      0 
 20250720   18:30:50      2      0      0      0      0      0      0 
 20250720   18:30:50      3      0      0      0      0      0      0 
 20250720   18:30:51      0      0      0      0      0      0      0 
 20250720   18:30:51      1      0      0      0      0      0      0 
 20250720   18:30:51      2      0      0      0      0      0      0 
 20250720   18:30:51      3      0      0      0      0      0      0 
 20250720   18:30:52      0      0      0      0      0      0      0 
 20250720   18:30:52      1      0      0      0      0      0      0 
 20250720   18:30:52      2      0      0      0      0      0      0 
 20250720   18:30:52      3      0      0      0      0      0      0 
 20250720   18:30:53      0      0      0      0      0      0      0 
 20250720   18:30:53      1      0      0      0      0      0      0 
 20250720   18:30:53      2      0      0      0      0      0      0 
 20250720   18:30:53      3      0      0      0      0      0      0 
 20250720   18:30:54      0      0      0      0      0      0      0 
 20250720   18:30:54      1      0      0      0      0      0      0 
 20250720   18:30:54      2      0      0      0      0      0      0 
 20250720   18:30:54      3      0      0      0      0      0      0 
 20250720   18:30:55      0      0      0      0      0      0      0 
 20250720   18:30:55      1      0      0      0      0      0      0 
 20250720   18:30:55      2      0      0      0      0      0      0 
 20250720   18:30:55      3      0      0      0      0      0      0 
 20250720   18:30:56      0      0      0      0      0      0      0 
 20250720   18:30:56      1      0      0      0      0      0      0 
 20250720   18:30:56      2      0      0      0      0      0      0 
 20250720   18:30:56      3      0      0      0      0      0      0 
#Date       Time        gpu     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD   HH:MM:SS    Idx      %      %      %      %      %      % 
 20250720   18:30:57      0     89     78      0      0      0      0 
 20250720   18:30:57      1     82     71      0      0      0      0 
 20250720   18:30:57      2     82     79      0      0      0      0 
 20250720   18:30:57      3     82     72      0      0      0      0 
 20250720   18:30:58      0     90     91      0      0      0      0 
 20250720   18:30:58      1     83     86      0      0      0      0 
 20250720   18:30:58      2     83     86      0      0      0      0 
 20250720   18:30:58      3     83     86      0      0      0      0 
 20250720   18:30:59      0     90     90      0      0      0      0 
 20250720   18:30:59      1     83     86      0      0      0      0 
 20250720   18:30:59      2     83     86      0      0      0      0 
 20250720   18:30:59      3     83     85      0      0      0      0 
 20250720   18:31:00      0     90     90      0      0      0      0 
