#Date       Time        gpu     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD   HH:MM:SS    Idx      %      %      %      %      %      % 
 20250720   18:20:10      0      0      0      0      0      0      0 
 20250720   18:20:10      1      0      0      0      0      0      0 
 20250720   18:20:10      2      0      0      0      0      0      0 
 20250720   18:20:10      3      0      0      0      0      0      0 
 20250720   18:20:11      0      0      0      0      0      0      0 
 20250720   18:20:11      1      0      0      0      0      0      0 
 20250720   18:20:11      2      0      0      0      0      0      0 
 20250720   18:20:11      3      0      0      0      0      0      0 
 20250720   18:20:12      0      0      0      0      0      0      0 
 20250720   18:20:12      1      0      0      0      0      0      0 
 20250720   18:20:12      2      0      0      0      0      0      0 
 20250720   18:20:12      3      0      0      0      0      0      0 
 20250720   18:20:13      0      0      0      0      0      0      0 
 20250720   18:20:13      1      0      0      0      0      0      0 
 20250720   18:20:13      2      0      0      0      0      0      0 
 20250720   18:20:13      3      0      0      0      0      0      0 
 20250720   18:20:14      0      0      0      0      0      0      0 
 20250720   18:20:14      1      0      0      0      0      0      0 
 20250720   18:20:14      2      0      0      0      0      0      0 
 20250720   18:20:14      3      0      0      0      0      0      0 
 20250720   18:20:15      0      0      0      0      0      0      0 
 20250720   18:20:15      1      0      0      0      0      0      0 
 20250720   18:20:15      2      0      0      0      0      0      0 
 20250720   18:20:15      3      0      0      0      0      0      0 
 20250720   18:20:16      0      0      0      0      0      0      0 
 20250720   18:20:16      1      0      0      0      0      0      0 
 20250720   18:20:16      2      0      0      0      0      0      0 
 20250720   18:20:16      3      0      0      0      0      0      0 
 20250720   18:20:17      0      0      0      0      0      0      0 
 20250720   18:20:17      1      0      0      0      0      0      0 
 20250720   18:20:17      2      0      0      0      0      0      0 
 20250720   18:20:17      3      0      0      0      0      0      0 
 20250720   18:20:18      0      0      0      0      0      0      0 
 20250720   18:20:18      1      0      0      0      0      0      0 
 20250720   18:20:18      2      0      0      0      0      0      0 
 20250720   18:20:18      3      0      0      0      0      0      0 
 20250720   18:20:19      0      0      0      0      0      0      0 
 20250720   18:20:19      1      0      0      0      0      0      0 
 20250720   18:20:19      2      0      0      0      0      0      0 
 20250720   18:20:19      3      0      0      0      0      0      0 
 20250720   18:20:20      0      0      0      0      0      0      0 
 20250720   18:20:20      1      0      0      0      0      0      0 
 20250720   18:20:20      2      0      0      0      0      0      0 
 20250720   18:20:20      3      0      0      0      0      0      0 
#Date       Time        gpu     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD   HH:MM:SS    Idx      %      %      %      %      %      % 
 20250720   18:20:21      0     91     87      0      0      0      0 
 20250720   18:20:21      1     93     81      0      0      0      0 
 20250720   18:20:21      2     83     85      0      0      0      0 
 20250720   18:20:21      3     84     81      0      0      0      0 
 20250720   18:20:22      0     91     92      0      0      0      0 
 20250720   18:20:22      1     84     87      0      0      0      0 
 20250720   18:20:22      2     84     87      0      0      0      0 
 20250720   18:20:22      3     83     86      0      0      0      0 
 20250720   18:20:23      0     90     91      0      0      0      0 
 20250720   18:20:23      1     84     87      0      0      0      0 
 20250720   18:20:23      2     84     87      0      0      0      0 
 20250720   18:20:23      3     84     87      0      0      0      0 
 20250720   18:20:24      0     93     92      0      0      0      0 
 20250720   18:20:24      1     84     87      0      0      0      0 
 20250720   18:20:24      2     84     87      0      0      0      0 
 20250720   18:20:24      3     84     87      0      0      0      0 
 20250720   18:20:25      0     93     93      0      0      0      0 
 20250720   18:20:25      1     85     88      0      0      0      0 
 20250720   18:20:25      2     85     88      0      0      0      0 
 20250720   18:20:25      3     85     88      0      0      0      0 
 20250720   18:20:26      0     93     93      0      0      0      0 
 20250720   18:20:26      1     85     88      0      0      0      0 
 20250720   18:20:26      2     84     87      0      0      0      0 
 20250720   18:20:26      3     84     87      0      0      0      0 
 20250720   18:20:27      0     87     86      0      0      0      0 
 20250720   18:20:27      1     76     76      0      0      0      0 
 20250720   18:20:27      2     77     76      0      0      0      0 
 20250720   18:20:27      3     81     82      0      0      0      0 
 20250720   18:20:29      0     91     91      0      0      0      0 
 20250720   18:20:29      1     91     91      0      0      0      0 
 20250720   18:20:29      2     90     89      0      0      0      0 
 20250720   18:20:29      3     91     91      0      0      0      0 
 20250720   18:20:30      0     91     90      0      0      0      0 
 20250720   18:20:30      1     91     89      0      0      0      0 
 20250720   18:20:30      2     91     89      0      0      0      0 
 20250720   18:20:30      3     91     89      0      0      0      0 
 20250720   18:20:31      0     91     88      0      0      0      0 
 20250720   18:20:31      1     90     88      0      0      0      0 
 20250720   18:20:31      2     91     89      0      0      0      0 
 20250720   18:20:31      3     91     89      0      0      0      0 
 20250720   18:20:32      0     90     86      0      0      0      0 
 20250720   18:20:32      1     90     86      0      0      0      0 
 20250720   18:20:32      2     90     86      0      0      0      0 
 20250720   18:20:32      3     90     87      0      0      0      0 
#Date       Time        gpu     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD   HH:MM:SS    Idx      %      %      %      %      %      % 
 20250720   18:20:33      0     90     84      0      0      0      0 
 20250720   18:20:33      1     91     85      0      0      0      0 
 20250720   18:20:33      2     91     84      0      0      0      0 
 20250720   18:20:33      3     90     84      0      0      0      0 
 20250720   18:20:34      0     91     83      0      0      0      0 
