#Date       Time        gpu     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD   HH:MM:SS    Idx      %      %      %      %      %      % 
 20250722   10:27:16      0      0      0      0      0      0      0 
 20250722   10:27:16      1      0      0      0      0      0      0 
 20250722   10:27:16      2      0      0      0      0      0      0 
 20250722   10:27:16      3      0      0      0      0      0      0 
 20250722   10:27:18      0      0      0      0      0      0      0 
 20250722   10:27:18      1      0      0      0      0      0      0 
 20250722   10:27:18      2      0      0      0      0      0      0 
 20250722   10:27:18      3      0      0      0      0      0      0 
 20250722   10:27:19      0      0      0      0      0      0      0 
 20250722   10:27:19      1      0      0      0      0      0      0 
 20250722   10:27:19      2      0      0      0      0      0      0 
 20250722   10:27:19      3      0      0      0      0      0      0 
 20250722   10:27:20      0      0      0      0      0      0      0 
 20250722   10:27:20      1      0      0      0      0      0      0 
 20250722   10:27:20      2      0      0      0      0      0      0 
 20250722   10:27:20      3      0      0      0      0      0      0 
 20250722   10:27:21      0      0      0      0      0      0      0 
 20250722   10:27:21      1      0      0      0      0      0      0 
 20250722   10:27:21      2      0      0      0      0      0      0 
 20250722   10:27:21      3      0      0      0      0      0      0 
 20250722   10:27:22      0      0      0      0      0      0      0 
 20250722   10:27:22      1      0      0      0      0      0      0 
 20250722   10:27:22      2      0      0      0      0      0      0 
 20250722   10:27:22      3      0      0      0      0      0      0 
 20250722   10:27:23      0      0      0      0      0      0      0 
 20250722   10:27:23      1      0      0      0      0      0      0 
 20250722   10:27:23      2      0      0      0      0      0      0 
 20250722   10:27:23      3      0      0      0      0      0      0 
 20250722   10:27:24      0      0      0      0      0      0      0 
 20250722   10:27:24      1      0      0      0      0      0      0 
 20250722   10:27:24      2      0      0      0      0      0      0 
 20250722   10:27:24      3      0      0      0      0      0      0 
 20250722   10:27:25      0      0      0      0      0      0      0 
 20250722   10:27:25      1      0      0      0      0      0      0 
 20250722   10:27:25      2      0      0      0      0      0      0 
 20250722   10:27:25      3      0      0      0      0      0      0 
 20250722   10:27:26      0      0      0      0      0      0      0 
 20250722   10:27:26      1      0      0      0      0      0      0 
 20250722   10:27:26      2      0      0      0      0      0      0 
 20250722   10:27:26      3      0      0      0      0      0      0 
 20250722   10:27:27      0      0      0      0      0      0      0 
 20250722   10:27:27      1      0      0      0      0      0      0 
 20250722   10:27:27      2      0      0      0      0      0      0 
 20250722   10:27:27      3      0      0      0      0      0      0 
#Date       Time        gpu     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD   HH:MM:SS    Idx      %      %      %      %      %      % 
 20250722   10:27:28      0     66     54      0      0      0      0 
 20250722   10:27:28      1     47     38      0      0      0      0 
 20250722   10:27:28      2     89     80      0      0      0      0 
 20250722   10:27:28      3     90     80      0      0      0      0 
 20250722   10:27:29      0     93     94      0      0      0      0 
 20250722   10:27:29      1     86     89      0      0      0      0 
 20250722   10:27:29      2     86     89      0      0      0      0 
 20250722   10:27:29      3     86     89      0      0      0      0 
 20250722   10:27:30      0     92     93      0      0      0      0 
 20250722   10:27:30      1     85     88      0      0      0      0 
 20250722   10:27:30      2     85     88      0      0      0      0 
 20250722   10:27:30      3     86     88      0      0      0      0 
 20250722   10:27:31      0     90     90      0      0      0      0 
 20250722   10:27:31      1     82     85      0      0      0      0 
 20250722   10:27:31      2     82     85      0      0      0      0 
 20250722   10:27:31      3     82     85      0      0      0      0 
 20250722   10:27:32      0     92     92      0      0      0      0 
 20250722   10:27:32      1     83     86      0      0      0      0 
 20250722   10:27:32      2     83     86      0      0      0      0 
 20250722   10:27:32      3     83     86      0      0      0      0 
 20250722   10:27:33      0     93     92      0      0      0      0 
 20250722   10:27:33      1     84     87      0      0      0      0 
 20250722   10:27:33      2     84     87      0      0      0      0 
 20250722   10:27:33      3     84     87      0      0      0      0 
 20250722   10:27:34      0     82     81      0      0      0      0 
 20250722   10:27:34      1     76     78      0      0      0      0 
 20250722   10:27:34      2     70     67      0      0      0      0 
 20250722   10:27:34      3     66     64      0      0      0      0 
 20250722   10:27:35      0     91     85      0      0      0      0 
 20250722   10:27:35      1     91     85      0      0      0      0 
 20250722   10:27:35      2     92     87      0      0      0      0 
 20250722   10:27:35      3     92     87      0      0      0      0 
 20250722   10:27:36      0     91     80      0      0      0      0 
 20250722   10:27:36      1     91     80      0      0      0      0 
 20250722   10:27:36      2     90     80      0      0      0      0 
 20250722   10:27:36      3     91     80      0      0      0      0 
 20250722   10:27:37      0     90     79      0      0      0      0 
 20250722   10:27:37      1     90     80      0      0      0      0 
 20250722   10:27:37      2     89     78      0      0      0      0 
 20250722   10:27:37      3     89     78      0      0      0      0 
 20250722   10:27:38      0     91     75      0      0      0      0 
 20250722   10:27:38      1     89     74      0      0      0      0 
 20250722   10:27:38      2     89     74      0      0      0      0 
 20250722   10:27:38      3     90     75      0      0      0      0 
#Date       Time        gpu     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD   HH:MM:SS    Idx      %      %      %      %      %      % 
 20250722   10:27:39      0     91     74      0      0      0      0 
 20250722   10:27:39      1     88     74      0      0      0      0 
 20250722   10:27:39      2     87     72      0      0      0      0 
 20250722   10:27:39      3     88     72      0      0      0      0 
 20250722   10:27:40      0     87     68      0      0      0      0 
 20250722   10:27:40      1     86     70      0      0      0      0 
 20250722   10:27:40      2     90     69      0      0      0      0 
 20250722   10:27:40      3     89     69      0      0      0      0 
 20250722   10:27:42      0     87     66      0      0      0      0 
 20250722   10:27:42      1     83     66      0      0      0      0 
 20250722   10:27:42      2     85     67      0      0      0      0 
 20250722   10:27:42      3     85     68      0      0      0      0 
 20250722   10:27:43      0     89     67      0      0      0      0 
 20250722   10:27:43      1     87     65      0      0      0      0 
 20250722   10:27:43      2     84     66      0      0      0      0 
 20250722   10:27:43      3     84     65      0      0      0      0 
 20250722   10:27:44      0     89     66      0      0      0      0 
 20250722   10:27:44      1     79     61      0      0      0      0 
 20250722   10:27:44      2     87     63      0      0      0      0 
 20250722   10:27:44      3     90     64      0      0      0      0 
 20250722   10:27:45      0     83     64      0      0      0      0 
 20250722   10:27:45      1     85     65      0      0      0      0 
 20250722   10:27:45      2     82     65      0      0      0      0 
 20250722   10:27:45      3     90     65      0      0      0      0 
 20250722   10:27:46      0     85     65      0      0      0      0 
 20250722   10:27:46      1     86     65      0      0      0      0 
 20250722   10:27:46      2     90     65      0      0      0      0 
 20250722   10:27:46      3     83     64      0      0      0      0 
 20250722   10:27:47      0     89     66      0      0      0      0 
 20250722   10:27:47      1     91     67      0      0      0      0 
 20250722   10:27:47      2     86     65      0      0      0      0 
 20250722   10:27:47      3     85     66      0      0      0      0 
 20250722   10:27:48      0     83     61      0      0      0      0 
 20250722   10:27:48      1     85     62      0      0      0      0 
 20250722   10:27:48      2     83     62      0      0      0      0 
 20250722   10:27:48      3     82     62      0      0      0      0 
 20250722   10:27:49      0     85     62      0      0      0      0 
 20250722   10:27:49      1     82     62      0      0      0      0 
 20250722   10:27:49      2     81     60      0      0      0      0 
 20250722   10:27:49      3     82     60      0      0      0      0 
 20250722   10:27:50      0     83     66      0      0      0      0 
 20250722   10:27:50      1     87     65      0      0      0      0 
 20250722   10:27:50      2     84     64      0      0      0      0 
 20250722   10:27:50      3     84     64      0      0      0      0 
#Date       Time        gpu     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD   HH:MM:SS    Idx      %      %      %      %      %      % 
 20250722   10:27:51      0     90     61      0      0      0      0 
 20250722   10:27:51      1     88     66      0      0      0      0 
 20250722   10:27:51      2     83     64      0      0      0      0 
 20250722   10:27:51      3     83     64      0      0      0      0 
 20250722   10:27:52      0     84     61      0      0      0      0 
 20250722   10:27:52      1     89     66      0      0      0      0 
 20250722   10:27:52      2     82     65      0      0      0      0 
 20250722   10:27:52      3     82     64      0      0      0      0 
 20250722   10:27:53      0     84     64      0      0      0      0 
 20250722   10:27:53      1     90     63      0      0      0      0 
 20250722   10:27:53      2     81     61      0      0      0      0 
 20250722   10:27:53      3     86     63      0      0      0      0 
 20250722   10:27:54      0     88     61      0      0      0      0 
 20250722   10:27:54      1     87     62      0      0      0      0 
 20250722   10:27:54      2     83     61      0      0      0      0 
 20250722   10:27:54      3     84     59      0      0      0      0 
 20250722   10:27:55      0     78     62      0      0      0      0 
 20250722   10:27:55      1     89     63      0      0      0      0 
 20250722   10:27:55      2     86     62      0      0      0      0 
 20250722   10:27:55      3     80     62      0      0      0      0 
 20250722   10:27:56      0     86     64      0      0      0      0 
 20250722   10:27:56      1     91     64      0      0      0      0 
 20250722   10:27:56      2     80     63      0      0      0      0 
 20250722   10:27:56      3     87     64      0      0      0      0 
 20250722   10:27:57      0     84     62      0      0      0      0 
 20250722   10:27:57      1     88     62      0      0      0      0 
 20250722   10:27:57      2     92     61      0      0      0      0 
 20250722   10:27:57      3     85     63      0      0      0      0 
 20250722   10:27:58      0     81     63      0      0      0      0 
 20250722   10:27:58      1     85     62      0      0      0      0 
 20250722   10:27:58      2     88     60      0      0      0      0 
 20250722   10:27:58      3     81     62      0      0      0      0 
 20250722   10:27:59      0     82     62      0      0      0      0 
 20250722   10:27:59      1     87     61      0      0      0      0 
 20250722   10:27:59      2     87     62      0      0      0      0 
 20250722   10:27:59      3     84     62      0      0      0      0 
 20250722   10:28:00      0     86     61      0      0      0      0 
 20250722   10:28:00      1     75     59      0      0      0      0 
 20250722   10:28:00      2     82     61      0      0      0      0 
 20250722   10:28:00      3     83     61      0      0      0      0 
 20250722   10:28:01      0     80     63      0      0      0      0 
 20250722   10:28:01      1     87     61      0      0      0      0 
 20250722   10:28:01      2     81     64      0      0      0      0 
 20250722   10:28:01      3     80     63      0      0      0      0 
#Date       Time        gpu     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD   HH:MM:SS    Idx      %      %      %      %      %      % 
 20250722   10:28:02      0     87     69      0      0      0      0 
 20250722   10:28:02      1     87     66      0      0      0      0 
 20250722   10:28:02      2     84     64      0      0      0      0 
 20250722   10:28:02      3     83     64      0      0      0      0 
 20250722   10:28:03      0     88     68      0      0      0      0 
 20250722   10:28:03      1     90     70      0      0      0      0 
 20250722   10:28:03      2     90     70      0      0      0      0 
 20250722   10:28:03      3     88     68      0      0      0      0 
 20250722   10:28:04      0     91     73      0      0      0      0 
 20250722   10:28:04      1     91     73      0      0      0      0 
 20250722   10:28:04      2     91     73      0      0      0      0 
 20250722   10:28:04      3     89     72      0      0      0      0 
 20250722   10:28:05      0     90     73      0      0      0      0 
 20250722   10:28:05      1     90     73      0      0      0      0 
 20250722   10:28:05      2     90     76      0      0      0      0 
 20250722   10:28:05      3     90     76      0      0      0      0 
 20250722   10:28:07      0     90     75      0      0      0      0 
 20250722   10:28:07      1     89     75      0      0      0      0 
 20250722   10:28:07      2     91     76      0      0      0      0 
 20250722   10:28:07      3     91     76      0      0      0      0 
 20250722   10:28:08      0     92     77      0      0      0      0 
 20250722   10:28:08      1     91     77      0      0      0      0 
 20250722   10:28:08      2     91     77      0      0      0      0 
 20250722   10:28:08      3     90     76      0      0      0      0 
 20250722   10:28:09      0     91     82      0      0      0      0 
 20250722   10:28:09      1     91     82      0      0      0      0 
 20250722   10:28:09      2     91     82      0      0      0      0 
 20250722   10:28:09      3     92     83      0      0      0      0 
 20250722   10:28:10      0     91     87      0      0      0      0 
 20250722   10:28:10      1     90     86      0      0      0      0 
 20250722   10:28:10      2     91     87      0      0      0      0 
 20250722   10:28:10      3     91     87      0      0      0      0 
 20250722   10:28:11      0     92     95      0      0      0      0 
 20250722   10:28:11      1     93     95      0      0      0      0 
 20250722   10:28:11      2     90     93      0      0      0      0 
 20250722   10:28:11      3     93     96      0      0      0      0 
